start_time,end_time,target_price,settled_as
2024-08-03T22:35:00+0530,2024-08-03T22:45:00+0530,60862.02,No
2024-08-03T22:45:00+0530,2024-08-03T22:55:00+0530,60810.01,No
2024-08-03T22:55:00+0530,2024-08-03T23:05:00+0530,60728.99,No
2024-08-03T23:00:00+0530,2024-08-03T23:10:00+0530,60757.59,No
2024-08-03T23:05:00+0530,2024-08-03T23:15:00+0530,60714.0,Yes
2024-08-03T23:10:00+0530,2024-08-03T23:20:00+0530,60696.01,No
2024-08-03T23:15:00+0530,2024-08-03T23:25:00+0530,60797.92,No
2024-08-03T23:20:00+0530,2024-08-03T23:30:00+0530,60695.87,No
2024-08-03T23:25:00+0530,2024-08-03T23:35:00+0530,60640.0,No
2024-08-03T23:30:00+0530,2024-08-03T23:40:00+0530,60575.99,No
2024-08-03T23:35:00+0530,2024-08-03T23:45:00+0530,60618.0,No
2024-08-03T23:40:00+0530,2024-08-03T23:50:00+0530,60505.91,Yes
2024-08-03T23:45:00+0530,2024-08-03T23:55:00+0530,60588.01,Yes
2024-08-03T23:50:00+0530,2024-08-04T00:00:00+0530,60539.5,Yes
2024-08-03T23:55:00+0530,2024-08-04T00:05:00+0530,60670.0,No
2024-08-04T00:00:00+0530,2024-08-04T00:10:00+0530,60591.99,No
2024-08-04T00:05:00+0530,2024-08-04T00:15:00+0530,60244.0,Yes
2024-08-04T00:10:00+0530,2024-08-04T00:20:00+0530,60267.4,Yes
2024-08-04T00:15:00+0530,2024-08-04T00:25:00+0530,60367.5,No
2024-08-04T00:25:00+0530,2024-08-04T00:35:00+0530,60288.09,No
2024-08-04T00:30:00+0530,2024-08-04T00:40:00+0530,60243.97,Yes
2024-08-04T00:35:00+0530,2024-08-04T00:45:00+0530,60180.0,Yes
2024-08-04T00:40:00+0530,2024-08-04T00:50:00+0530,60244.0,No
2024-08-04T00:45:00+0530,2024-08-04T00:55:00+0530,60222.36,No
2024-08-04T00:50:00+0530,2024-08-04T01:00:00+0530,60072.0,No
2024-08-04T00:55:00+0530,2024-08-04T01:05:00+0530,60118.01,Yes
2024-08-04T01:00:00+0530,2024-08-04T01:10:00+0530,59953.04,Yes
2024-08-04T01:05:00+0530,2024-08-04T01:15:00+0530,60148.56,No
2024-08-04T01:10:00+0530,2024-08-04T01:20:00+0530,60039.54,Yes
2024-08-04T01:15:00+0530,2024-08-04T01:25:00+0530,60119.99,Yes
2024-08-04T01:20:00+0530,2024-08-04T01:30:00+0530,60557.43,No
2024-08-04T01:25:00+0530,2024-08-04T01:35:00+0530,60320.35,Yes
2024-08-04T01:30:00+0530,2024-08-04T01:40:00+0530,60246.01,Yes
2024-08-04T01:35:00+0530,2024-08-04T01:45:00+0530,60416.77,Yes
2024-08-04T01:40:00+0530,2024-08-04T01:50:00+0530,60263.82,Yes
2024-08-04T01:45:00+0530,2024-08-04T01:55:00+0530,60451.99,Yes
2024-08-04T01:50:00+0530,2024-08-04T02:00:00+0530,60526.01,Yes
2024-08-04T01:55:00+0530,2024-08-04T02:05:00+0530,60464.0,Yes
2024-08-04T02:00:00+0530,2024-08-04T02:10:00+0530,60582.78,Yes
2024-08-04T02:05:00+0530,2024-08-04T02:15:00+0530,60604.01,No
2024-08-04T02:10:00+0530,2024-08-04T02:20:00+0530,60643.99,No
2024-08-04T02:15:00+0530,2024-08-04T02:25:00+0530,60524.0,No
2024-08-04T02:20:00+0530,2024-08-04T02:30:00+0530,60526.0,No
2024-08-04T02:25:00+0530,2024-08-04T02:35:00+0530,60394.96,No
2024-08-04T02:30:00+0530,2024-08-04T02:40:00+0530,60395.97,No
2024-08-04T02:35:00+0530,2024-08-04T02:45:00+0530,60168.0,Yes
2024-08-04T02:40:00+0530,2024-08-04T02:50:00+0530,59970.85,Yes
2024-08-04T02:45:00+0530,2024-08-04T02:55:00+0530,60254.27,No
2024-08-04T02:50:00+0530,2024-08-04T03:00:00+0530,60445.94,Yes
2024-08-04T02:55:00+0530,2024-08-04T03:05:00+0530,60218.72,Yes
2024-08-04T03:00:00+0530,2024-08-04T03:10:00+0530,60490.19,Yes
2024-08-04T03:05:00+0530,2024-08-04T03:15:00+0530,60482.02,Yes
