start_time,end_time,target_views,settled_as,video_name
2024-07-12T09:50:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:50:00+0530,2024-07-12T10:00:00+0530,20.52M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:50:00+0530,2024-07-12T10:00:00+0530,20.52M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:55:00+0530,2024-07-12T10:10:00+0530,47.11M,No,Kendrick Lamar - Not Like Us
2024-07-12T10:00:00+0530,2024-07-12T11:00:00+0530,87.49M,Yes,MrBeast - I Built 100 Homes
2024-07-12T10:00:00+0530,2024-07-12T10:20:00+0530,20.57M,Yes,Round2Hell - EPL Season 3
2024-07-12T10:00:00+0530,2024-07-12T10:20:00+0530,20.60M,No,Round2Hell - EPL Season 3
2024-07-12T10:10:00+0530,2024-07-12T10:30:00+0530,47.15M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T10:20:00+0530,2024-07-12T10:40:00+0530,20.62M,Yes,Round2Hell - EPL Season 3
2024-07-12T10:20:00+0530,2024-07-12T10:30:00+0530,47.17M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T10:25:00+0530,2024-07-12T10:45:00+0530,20.65M,No,Round2Hell - EPL Season 3
2024-07-12T10:25:00+0530,2024-07-12T10:45:00+0530,47.25M,No,Kendrick Lamar - Not Like Us
2024-07-12T10:30:00+0530,2024-07-12T10:40:00+0530,20.63M,Yes,Round2Hell - EPL Season 3
2024-07-12T10:40:00+0530,2024-07-12T11:00:00+0530,20.66M,Yes,Round2Hell - EPL Season 3
2024-07-12T10:40:00+0530,2024-07-12T11:00:00+0530,20.69M,Yes,Round2Hell - EPL Season 3
2024-07-12T10:40:00+0530,2024-07-13T00:00:00+0530,3.57M,Yes,Sourav Joshi - 1st Business Class Flight
2024-07-12T10:45:00+0530,2024-07-12T11:00:00+0530,20.69M,Yes,Round2Hell - EPL Season 3
2024-07-12T10:50:00+0530,2024-07-12T11:10:00+0530,47.25M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T10:50:00+0530,2024-07-12T11:00:00+0530,87.50M,Yes,MrBeast - I Built 100 Homes
2024-07-12T11:00:00+0530,2024-07-12T12:00:00+0530,87.56M,Yes,MrBeast - I Built 100 Homes
2024-07-12T11:00:00+0530,2024-07-12T11:20:00+0530,20.74M,No,Round2Hell - EPL Season 3
2024-07-12T11:05:00+0530,2024-07-12T11:25:00+0530,20.71M,Yes,Round2Hell - EPL Season 3
2024-07-12T11:10:00+0530,2024-07-12T11:30:00+0530,47.26M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T11:10:00+0530,2024-07-12T11:25:00+0530,20.73M,Yes,Round2Hell - EPL Season 3
2024-07-12T11:15:00+0530,2024-07-12T11:30:00+0530,47.31M,No,Kendrick Lamar - Not Like Us
2024-07-12T11:15:00+0530,2024-07-12T11:25:00+0530,20.75M,Yes,Round2Hell - EPL Season 3
2024-07-12T11:20:00+0530,2024-07-12T11:40:00+0530,20.80M,No,Round2Hell - EPL Season 3
2024-07-12T11:25:00+0530,2024-07-12T11:45:00+0530,20.83M,No,Round2Hell - EPL Season 3
2024-07-12T11:25:00+0530,2024-07-12T11:45:00+0530,47.36M,No,Kendrick Lamar - Not Like Us
2024-07-12T11:40:00+0530,2024-07-12T12:00:00+0530,20.80M,Yes,Round2Hell - EPL Season 3
2024-07-12T11:40:00+0530,2024-07-12T12:00:00+0530,20.84M,Yes,Round2Hell - EPL Season 3
2024-07-12T11:45:00+0530,2024-07-12T12:00:00+0530,20.85M,Yes,Round2Hell - EPL Season 3
2024-07-12T11:50:00+0530,2024-07-12T12:10:00+0530,47.39M,No,Kendrick Lamar - Not Like Us
2024-07-12T11:50:00+0530,2024-07-12T12:00:00+0530,87.58M,Yes,MrBeast - I Built 100 Homes
2024-07-12T10:40:00+0530,2024-07-13T00:00:00+0530,3.81M,No,Sourav Joshi - 1st Business Class Flight
2024-07-12T11:50:00+0530,2024-07-12T12:00:00+0530,20.87M,No,Round2Hell - EPL Season 3
2024-07-12T11:55:00+0530,2024-07-12T12:55:00+0530,87.63M,Yes,MrBeast - I Built 100 Homes
2024-07-12T11:55:00+0530,2024-07-12T12:15:00+0530,20.94M,No,Round2Hell - EPL Season 3
2024-07-12T12:05:00+0530,2024-07-12T12:25:00+0530,20.90M,Yes,Round2Hell - EPL Season 3
2024-07-12T12:10:00+0530,2024-07-12T12:30:00+0530,47.38M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T12:10:00+0530,2024-07-12T12:30:00+0530,47.38M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T12:10:00+0530,2024-07-12T12:30:00+0530,47.38M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T12:10:00+0530,2024-07-12T12:30:00+0530,47.38M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T12:15:00+0530,2024-07-12T12:30:00+0530,47.38M,Yes,Kendrick Lamar - Not Like Us
